datetime,time_ms,temperature,humidity,mq135,co2,tvoc,dust,label
2026-01-30 00:18:24,6778,32.20,66.10,461,396,0.04,0.00,0
2026-01-30 00:18:27,9777,32.20,66.10,432,371,0.02,0.00,0
2026-01-30 00:18:30,12777,32.20,66.00,472,357,0.01,0.00,0
2026-01-30 00:18:33,15777,32.20,66.00,461,358,0.02,0.00,0
2026-01-30 00:18:36,18777,32.20,66.00,483,371,0.04,0.00,0
2026-01-30 00:18:39,21777,32.10,75.70,1759,427,0.22,5400.00,1
2026-01-30 00:18:42,24777,32.10,72.70,1065,584,0.23,5400.00,1
2026-01-30 00:18:45,27777,32.10,68.80,857,549,0.20,5400.00,1
2026-01-30 00:18:48,30777,32.10,67.40,764,526,0.18,2226.52,1
2026-01-30 00:18:51,33777,32.10,67.00,704,515,0.16,0.00,0
2026-01-30 00:18:54,36777,32.10,66.70,647,471,0.11,0.00,0
2026-01-30 00:18:57,39777,32.10,66.70,620,451,0.10,0.00,0
2026-01-30 00:19:00,42777,32.10,66.40,614,446,0.09,0.00,0
2026-01-30 00:19:03,45777,32.10,66.50,591,433,0.10,0.00,0
2026-01-30 00:19:06,48777,32.10,66.50,592,452,0.10,0.00,0
2026-01-30 00:19:09,51777,32.00,66.40,592,450,0.11,0.00,0
2026-01-30 00:19:12,54777,32.00,66.40,563,447,0.10,0.00,0
2026-01-30 00:19:15,57777,32.10,66.30,574,447,0.10,0.00,0
2026-01-30 00:19:18,60777,32.10,66.40,564,441,0.10,0.00,0
2026-01-30 00:19:21,63777,32.00,66.40,559,433,0.09,0.00,0
2026-01-30 00:19:24,66777,32.10,66.40,533,427,0.08,0.00,0
2026-01-30 00:19:27,69777,32.00,66.40,575,406,0.06,5400.00,1
2026-01-30 00:19:30,72777,32.00,75.30,1424,468,0.27,5400.00,1
2026-01-30 00:19:33,75777,32.00,70.90,900,750,0.48,5400.00,1
2026-01-30 00:19:36,78777,32.00,68.30,761,747,0.43,0.00,0
2026-01-30 00:19:39,81777,32.00,67.40,716,697,0.32,0.00,0
2026-01-30 00:19:42,84777,32.00,67.00,673,577,0.20,0.00,0
2026-01-30 00:19:45,87777,32.00,66.80,639,520,0.17,0.00,0
2026-01-30 00:19:48,90777,31.90,66.70,642,504,0.17,0.00,0
2026-01-30 00:19:51,93777,32.00,66.60,623,515,0.17,941.98,1
2026-01-30 00:19:54,96777,31.90,67.10,633,499,0.14,5400.00,1
2026-01-30 00:19:57,99777,31.90,69.50,794,529,0.22,1199.85,1
2026-01-30 00:20:00,102777,31.90,68.10,687,584,0.22,216.70,0
2026-01-30 00:20:03,105777,31.90,67.40,621,547,0.19,0.00,0
2026-01-30 00:20:06,108777,31.90,67.00,603,520,0.17,53.92,0
2026-01-30 00:20:09,111777,31.90,66.80,593,508,0.17,0.00,0
2026-01-30 00:20:12,114777,31.90,66.80,603,521,0.18,0.00,0
